setting,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,sd_diff,ci95_low,ci95_high,cohens_dz,p_sign_exact,per_seed_diffs
secondary_vgg16_exp,backprop_saved_pct,tgies,baseline,3,54.43114666666667,0.031999999999998696,54.399146666666674,0.1156300122517233,54.11190579261121,54.68638754072214,470.45871229556957,0.25,54.3264;54.5325;54.3386
secondary_vgg16_exp,backprop_saved_pct,tgies,ies_shipped,3,54.43114666666667,37.70837333333333,16.72277333333334,0.9091078539608672,14.464424229175807,18.981122437490875,18.394707801141905,0.25,15.6851;17.1040;17.3792
secondary_vgg16_exp,backprop_saved_pct,tgies,ies_alg1,3,54.43114666666667,41.01632,13.414826666666665,1.094934013963093,10.694859790600491,16.134793542732837,12.25172156092946,0.25,12.5043;13.1104;14.6298
secondary_vgg16_exp,flop_saved_pct,tgies,baseline,3,36.25515090848688,0.021314355844392896,36.23383655264249,0.07701810085701294,36.042512983809,36.425160121475976,470.45871229559395,0.25,36.1854;36.3226;36.1935
secondary_vgg16_exp,flop_saved_pct,tgies,ies_shipped,3,36.25515090848688,25.116552735619308,11.138598172867574,0.6055327593828972,9.634371409527711,12.642824936207438,18.394707801141923,0.25,10.4474;11.3925;11.5758
secondary_vgg16_exp,flop_saved_pct,tgies,ies_alg1,3,36.25515090848688,27.31988874710684,8.935262161380042,0.7293066624917833,7.123563977585299,10.746960345174784,12.251721560929399,0.25,8.3288;8.7325;9.7445
adam,best_test_acc_pct,tgies,baseline,3,92.44333333333333,92.90666666666668,-0.46333333333333354,0.16289055630494667,-0.8679759071536597,-0.05869075951300734,-2.8444456440183634,0.25,-0.6500;-0.3900;-0.3500
adam,best_test_acc_pct,tgies,ies_shipped,3,92.44333333333333,92.61,-0.16666666666666666,0.16563010998406438,-0.5781146690949095,0.24478133576157615,-1.0062582623576233,0.25,-0.3400;-0.0100;-0.1500
adam,best_test_acc_pct,tgies,ies_alg1,3,92.44333333333333,92.42,0.023333333333335798,0.18502252115170792,-0.43628808900003024,0.4829547556667019,0.1261107739106192,1.0,-0.1600;0.0200;0.2100
adam,backprop_saved_pct,tgies,baseline,3,30.17984,0.031999999999998696,30.14784,0.6199195405857134,28.607874490922175,31.687805509077823,48.631859501501864,0.25,30.8269;29.6122;30.0045
adam,backprop_saved_pct,tgies,ies_shipped,3,30.17984,56.02496,-25.845120000000005,0.578397499303035,-27.281939040454795,-24.408300959545215,-44.68401061751339,0.25,-25.1776;-26.1600;-26.1978
adam,backprop_saved_pct,tgies,ies_alg1,3,30.17984,60.094293333333326,-29.91445333333333,0.9110170890457182,-32.177545240365916,-27.651361426300745,-32.836325128289786,0.25,-28.9389;-30.7430;-30.0614
adam,flop_saved_pct,tgies,baseline,3,20.109198945842078,0.02132199396241985,20.087876951879657,0.41306002192367997,19.061778974164035,21.11397492959528,48.6318595015018,0.25,20.5403;19.7309;19.9924
adam,flop_saved_pct,tgies,ies_shipped,3,20.109198945842078,37.33012058953409,-17.220921643692012,0.3853933746256536,-18.178291859494326,-16.2635514278897,-44.684010617513366,0.25,-16.7761;-17.4307;-17.4559
adam,flop_saved_pct,tgies,ies_alg1,3,20.109198945842078,40.041567488422444,-19.932368542580367,0.6070219022593331,-21.44029454189791,-18.424442543262824,-32.83632512828972,0.25,-19.2823;-20.4845;-20.0303
cifar100_resnet18_exp,best_test_acc_pct,tgies,baseline,3,76.01333333333334,76.88,-0.8666666666666648,0.41404508611181035,-1.895211679480607,0.16187834614727736,-2.093169791737673,0.25,-0.4900;-1.3100;-0.8000
